Timestamp,GrabEventOccurred,BlueBowl_Position_X,BlueBowl_Position_Y,BlueBowl_Position_Z,BlueBowl_Rotation_X,BlueBowl_Rotation_Y,BlueBowl_Rotation_Z,BlueCup_Position_X,BlueCup_Position_Y,BlueCup_Position_Z,BlueCup_Rotation_X,BlueCup_Rotation_Y,BlueCup_Rotation_Z,BronzeBottle_Position_X,BronzeBottle_Position_Y,BronzeBottle_Position_Z,BronzeBottle_Rotation_X,BronzeBottle_Rotation_Y,BronzeBottle_Rotation_Z,CeladonBottle_Position_X,CeladonBottle_Position_Y,CeladonBottle_Position_Z,CeladonBottle_Rotation_X,CeladonBottle_Rotation_Y,CeladonBottle_Rotation_Z,RedBowl_Position_X,RedBowl_Position_Y,RedBowl_Position_Z,RedBowl_Rotation_X,RedBowl_Rotation_Y,RedBowl_Rotation_Z,RedCup_Position_X,RedCup_Position_Y,RedCup_Position_Z,RedCup_Rotation_X,RedCup_Rotation_Y,RedCup_Rotation_Z,WhiteBottle_Position_X,WhiteBottle_Position_Y,WhiteBottle_Position_Z,WhiteBottle_Rotation_X,WhiteBottle_Rotation_Y,WhiteBottle_Rotation_Z,WhiteBowl_Position_X,WhiteBowl_Position_Y,WhiteBowl_Position_Z,WhiteBowl_Rotation_X,WhiteBowl_Rotation_Y,WhiteBowl_Rotation_Z,WhiteCup_Position_X,WhiteCup_Position_Y,WhiteCup_Position_Z,WhiteCup_Rotation_X,WhiteCup_Rotation_Y,WhiteCup_Rotation_Z,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,EyePosX,EyePosY,EyePosZ,EyeRotX,EyeRotY,EyeRotZ,LeftShoulderX_Delta,LeftShoulderY_Delta,LeftShoulderZ_Delta,RightShoulderX_Delta,RightShoulderY_Delta,RightShoulderZ_Delta,LeftElbowX_Delta,LeftElbowY_Delta,LeftElbowZ_Delta,RightElbowX_Delta,RightElbowY_Delta,RightElbowZ_Delta,LeftWristX_Delta,LeftWristY_Delta,LeftWristZ_Delta,RightWristX_Delta,RightWristY_Delta,RightWristZ_Delta,LeftHipX_Delta,LeftHipY_Delta,LeftHipZ_Delta,RightHipX_Delta,RightHipY_Delta,RightHipZ_Delta,LeftKneeX_Delta,LeftKneeY_Delta,LeftKneeZ_Delta,RightKneeX_Delta,RightKneeY_Delta,RightKneeZ_Delta,LeftAnkleX_Delta,LeftAnkleY_Delta,LeftAnkleZ_Delta,RightAnkleX_Delta,RightAnkleY_Delta,RightAnkleZ_Delta,Angle_RS_LS_LE,Angle_LS_LE_LW,Angle_LS_RS_RE,Angle_RS_RE_RW,Angle_LS_LH_LK,Angle_RS_RH_RK,Angle_LH_LK_LA,Angle_RH_RK_RA,RedBowl_Distance,RedBowl_Angle,RedBowl_HeadAngle,WhiteBowl_Distance,WhiteBowl_Angle,WhiteBowl_HeadAngle,BlueBowl_Distance,BlueBowl_Angle,BlueBowl_HeadAngle,BronzeBottle_Distance,BronzeBottle_Angle,BronzeBottle_HeadAngle,WhiteBottle_Distance,WhiteBottle_Angle,WhiteBottle_HeadAngle,CeladonBottle_Distance,CeladonBottle_Angle,CeladonBottle_HeadAngle,BlueCup_Distance,BlueCup_Angle,BlueCup_HeadAngle,WhiteCup_Distance,WhiteCup_Angle,WhiteCup_HeadAngle,RedCup_Distance,RedCup_Angle,RedCup_HeadAngle
0.0,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.689,1.019472,1.998,0.0,0.0,0.0,-0.2345,1.015273,1.9887,0.0,0.0,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4667775,1.0235,1.96315,0.0,171.6729,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.1308193,1.541407,0.1005105,0.5381006,355.2363,0.6299761,-0.09842796,1.541764,0.1032132,12.65336,345.7717,0.544861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.00140151100327,119.5173797882654,104.38456402782147,163.8861438530467,145.53504782045988,166.84252954354506,171.69663991780018,162.16396370994963,2.191165,68.73488,64.12032886044942,2.028118,77.8218,73.55949602178616,1.925312,87.82448,83.7771576931478,2.045592,3.098888,18.265670384805638,1.962275,2.97065,15.67224640369056,1.962862,9.925392,15.042210577257416,2.07513,72.86147,85.62662414112182,2.092094,67.37466,79.58499239600297,2.11345,61.34614,73.63836880074119
0.00843811,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.689,1.019472,1.998,0.0,0.0,0.0,-0.2345,1.015273,1.9887,0.0,0.0,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4667775,1.0235,1.96315,0.0,171.6729,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.1311134,1.541481,0.1008207,0.5217015,354.9944,0.5583363,-0.09873333,1.541798,0.1036597,13.13009,344.36,0.4634846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.00140151100327,119.5173797882654,104.38456402782147,163.8861438530467,145.53504782045988,166.84252954354506,171.69663991780018,162.16396370994963,2.191269,69.94108,64.36392413688642,2.02829,78.97562,73.80276245673706,1.925551,88.92982,84.01925480982027,2.045244,2.013242,18.13156413701456,1.96195,4.358603,15.612425175582253,1.962568,11.24486,15.09493616697164,2.074882,71.41748,85.4148922849581,2.091818,65.93096,79.37468544572299,2.113146,59.90171,73.42768165099784
0.01931763,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.689,1.019472,1.998,0.0,0.0,0.0,-0.2345,1.015273,1.9887,0.0,0.0,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4667775,1.0235,1.96315,0.0,171.6729,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.1313485,1.541497,0.1010959,0.5245068,354.7371,0.5416543,-0.09898145,1.541805,0.1040802,13.12977,344.0989,0.4461176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.00140151100327,119.5173797882654,104.38456402782147,163.8861438530467,145.53504782045988,166.84252954354506,171.69663991780018,162.16396370994963,2.191324,70.19852,64.61051709992,2.028401,79.22921,74.04889612525662,1.925721,89.17878,84.26419692588375,2.044928,1.808185,17.971360849617064,1.961652,4.61694,15.52779572917864,1.962295,11.50472,15.12789049789834,2.074669,71.18562,85.18012905946017,2.091579,65.69711,79.14111538073936,2.112882,59.66656,73.19378736365357
0.03027344,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.689,1.019472,1.998,0.0,0.0,0.0,-0.2345,1.015273,1.9887,0.0,0.0,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4667775,1.0235,1.96315,0.0,171.6729,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.1315925,1.541518,0.1013697,0.5175015,354.4804,0.538308,-0.0992391,1.541823,0.1044989,13.12227,343.8417,0.4440687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.00140151100327,119.5173797882654,104.38456402782147,163.8861438530467,145.53504782045988,166.84252954354506,171.69663991780018,162.16396370994963,2.191388,70.45422,64.859934292758,2.028522,79.48148,74.29785601906029,1.9259,89.42676,84.5119625980431,2.044613,1.615436,17.82079268604441,1.961356,4.871259,15.45560992368171,1.962024,11.76162,15.173910959311943,2.074449,70.95947,84.9489905773682,2.091333,65.46885,78.91134032750642,2.112612,59.43697,72.96372970287682
0.04130554,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.689,1.019472,1.998,0.0,0.0,0.0,-0.2345,1.015273,1.9887,0.0,0.0,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4667775,1.0235,1.96315,0.0,171.6729,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.1318714,1.541468,0.1016227,0.5200586,354.2229,0.5392805,-0.09953243,1.541774,0.1048973,13.12496,343.5844,0.4445658,-3.476000000007806e-05,-1.86000000007569e-06,6.231799999999177e-06,4.441999999998947e-05,2.5599999999847967e-06,-2.9280000000006523e-05,-1.2720000000021603e-05,-1.3999999998182133e-07,8.186000000000304e-05,1.1440000000029205e-05,4.557999999998952e-05,-0.00011927999999999939,-1.948000000001615e-05,1.7639999999929934e-05,0.00047075988,4.21600000000133e-05,8.200000000013752e-06,-6.381999999999222e-05,2.399999999846969e-07,-2.8000000007466497e-07,6.753599999999998e-05,1.4879999999994897e-05,3.360000000007801e-06,-6.745200000000257e-05,2.0399999999920482e-05,5.7800000000107765e-06,-4.980000000000262e-05,7.3800000000012744e-06,3.4780000000012024e-05,-6.714799999999951e-05,8.200000000013752e-06,1.2200000000239797e-06,-0.00015619999999999523,-3.1200000000231043e-06,-5.999999996841865e-08,-0.00034555999999999476,110.05238805286118,119.71566235046309,104.45359411482157,163.93078227854193,145.60312865807813,166.84365469592387,171.67077527336647,162.2054054002919,2.191467,70.70759,65.1060259038464,2.028655,79.73073,74.54329136314034,1.926087,89.6711,84.75600568742301,2.044289,1.451043,17.661991043126886,1.961055,5.127781,15.375357957681334,1.961753,12.01885,15.212609044479288,2.074172,70.72972,84.71314831246465,2.091031,65.23705,78.67652066433239,2.112288,59.20376,72.72845143982622
0.05262756,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.689,1.019472,1.998,0.0,0.0,0.0,-0.2345,1.015273,1.9887,0.0,0.0,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4667775,1.0235,1.96315,0.0,171.6729,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.1321253,1.541473,0.1018915,0.5147618,353.966,0.5364846,-0.09980129,1.541777,0.105311,13.11924,343.3271,0.4427475,-3.475999999991153e-05,-1.8599999999091565e-06,6.231800000000912e-06,4.441999999998947e-05,2.560000000040308e-06,-2.9279999999992645e-05,-1.2719999999966092e-05,-1.4000000003733248e-07,8.18599999999961e-05,1.1439999999973693e-05,4.557999999998952e-05,-0.00011927999999999939,-1.9480000000071662e-05,1.7640000000096467e-05,0.0004707598800001,4.215999999995779e-05,8.19999999995824e-06,-6.381999999999222e-05,2.399999999846969e-07,-2.799999999081315e-07,6.753599999999998e-05,1.4879999999994897e-05,3.360000000007801e-06,-6.745200000000257e-05,2.0400000000087015e-05,5.7800000000107765e-06,-4.9800000000099764e-05,7.3800000000012744e-06,3.4780000000012024e-05,-6.714799999999951e-05,8.19999999995824e-06,1.2200000000239797e-06,-0.000156200000000023,-3.1200000000231043e-06,-5.999999996841865e-08,-0.00034555999999999476,110.10332170000291,119.91532423331451,104.52251847040048,163.97479386490082,145.67127083987208,166.84477356524064,171.6448654967814,162.24704548136674,2.191536,70.96292,65.35506632305437,2.028781,79.98245,74.79177824115372,1.92627,89.91835,85.00319722036458,2.043972,1.30761,17.51435369198528,1.960758,5.382922,15.309018644605413,1.961482,12.27605,15.265205852621879,2.073937,70.50278,84.48113020353848,2.090771,65.00802,78.44582978945323,2.112005,58.97339,72.4974707229229
0.06365967,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.689,1.019472,1.998,0.0,0.0,0.0,-0.2345,1.015273,1.9887,0.0,0.0,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4667775,1.0235,1.96315,0.0,171.6729,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.1324262,1.541329,0.1021347,0.5528349,353.6196,0.5372793,-0.1001235,1.541634,0.1057498,14.0663,342.4522,0.4318273,-3.476000000007806e-05,-1.8600000000201788e-06,6.231799999999177e-06,4.441999999998947e-05,2.5599999999847967e-06,-2.9280000000006523e-05,-1.2720000000021603e-05,-1.3999999998182133e-07,8.186000000000304e-05,1.1440000000029205e-05,4.557999999998952e-05,-0.00011927999999999939,-1.947999999990513e-05,1.7639999999985445e-05,0.00047075988,4.21600000000133e-05,8.200000000013752e-06,-6.382000000001997e-05,2.4000000004020805e-07,-2.800000000191538e-07,6.753599999999998e-05,1.4879999999994897e-05,3.359999999896779e-06,-6.745199999999563e-05,2.0399999999920482e-05,5.779999999955265e-06,-4.97999999998916e-05,7.3800000000012744e-06,3.4779999999901e-05,-6.714800000010013e-05,8.200000000013752e-06,1.2199999999129574e-06,-0.00015619999999999523,-3.119999999967593e-06,-6.000000007944095e-08,-0.0003455600000001058,110.15420236225339,120.11636707700829,104.5913370466235,164.01817403364134,145.739474428021,166.84588614170062,171.6189105892944,162.2888849489522,2.191605,71.534,65.66986473682081,2.028902,80.4798,75.10524448382608,1.926443,90.34939,85.31453147094433,2.043628,2.119972,17.27799775127389,1.960438,6.346593,15.177058650051421,1.961194,13.08467,15.292802721030046,2.073606,69.42662,84.14931579226185,2.090416,63.94338,78.11487225099636,2.111629,57.91103,72.1659399320924
0.07389832,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.689,1.019472,1.998,0.0,0.0,0.0,-0.2345,1.015273,1.9887,0.0,0.0,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4667775,1.0235,1.96315,0.0,171.6729,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.132675,1.541309,0.1024324,0.5604773,353.324,0.5287215,-0.1003913,1.541609,0.1062141,14.34701,342.1541,0.4221335,-3.475999999991153e-05,-1.8599999999646677e-06,6.231799999999177e-06,4.441999999998947e-05,2.5599999999847967e-06,-2.9279999999992645e-05,-1.2719999999966092e-05,-1.4000000009284364e-07,8.18599999999961e-05,1.1439999999973693e-05,4.557999999998952e-05,-0.00011927999999999939,-1.948000000001615e-05,1.7639999999985445e-05,0.00047075987999989995,4.21600000000133e-05,8.200000000013752e-06,-6.381999999999222e-05,2.399999999846969e-07,-2.7999999996364267e-07,6.753599999999998e-05,1.4879999999994897e-05,3.360000000007801e-06,-6.745200000000257e-05,2.0400000000087015e-05,5.7800000000107765e-06,-4.980000000000262e-05,7.3800000000012744e-06,3.4780000000012024e-05,-6.714799999999951e-05,8.200000000013752e-06,1.2200000000239797e-06,-0.00015619999999999523,-3.1200000000231043e-06,-5.999999996841865e-08,-0.00034555999999999476,110.20502994986369,120.31879233658437,104.66004979659958,164.06091822800735,145.80773948444659,166.84699241550166,171.59291055204756,162.33092480474835,2.191647,71.74914,65.95087085614166,2.029004,80.67242,75.38552105870345,1.926607,90.52098,85.59328603029422,2.043279,2.444646,17.104147438904178,1.960108,6.69029,15.098845117261453,1.96089,13.37865,15.351448373086727,2.073368,69.08205,83.87750738429231,2.090149,63.60181,77.84445555387893,2.111336,57.56963,71.89525594588763
0.08506775,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.689,1.019472,1.998,0.0,0.0,0.0,-0.2345,1.015273,1.9887,0.0,0.0,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4667775,1.0235,1.96315,0.0,171.6729,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.1329424,1.541279,0.1026922,0.554719,353.0376,0.5253363,-0.100678,1.541577,0.1066352,14.3407,341.8671,0.4198577,-3.476000000002255e-05,-1.8600000000201788e-06,6.231800000000912e-06,4.442000000004498e-05,2.560000000040308e-06,-2.9280000000006523e-05,-1.2720000000021603e-05,-1.3999999992631018e-07,8.186000000000304e-05,1.1440000000029205e-05,4.557999999998952e-05,-0.00011927999999999939,-1.948000000001615e-05,1.7640000000040956e-05,0.00047075988000000007,4.21600000000133e-05,8.200000000013752e-06,-6.381999999999222e-05,2.399999999846969e-07,-2.800000000191538e-07,6.753599999999998e-05,1.4879999999994897e-05,3.3600000000633123e-06,-6.745200000000257e-05,2.0399999999975993e-05,5.7800000000107765e-06,-4.980000000000262e-05,7.3800000000012744e-06,3.4780000000012024e-05,-6.714799999990237e-05,8.200000000013752e-06,1.2200000000239797e-06,-0.00015619999999999523,-3.119999999967593e-06,-5.999999996841865e-08,-0.0003455599999999115,110.25580437350999,120.52260127741673,104.72865667447601,164.10302191505497,145.87606607080897,166.84809237683518,171.5668653860812,162.37316605640868,2.19172,72.03184,66.22760785271548,2.029132,80.95073,75.6614607381962,1.926791,90.7938,85.8676717402458,2.042957,2.514895,16.94868647268033,1.959807,6.966044,15.040002572718768,1.960618,13.6641,15.425577369150734,2.073108,68.8283,83.61776469767733,2.089864,63.34564,77.58627794571167,2.111029,57.31187,71.63685473803606
0.09613037,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.689,1.019472,1.998,0.0,0.0,0.0,-0.2345,1.015273,1.9887,0.0,0.0,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4667775,1.0235,1.96315,0.0,171.6729,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.1332707,1.541245,0.1029203,0.5664741,352.7548,0.4956448,-0.101026,1.541526,0.1070224,14.34648,341.5766,0.3874417,-3.049999999998887e-05,-8.750000000112834e-07,2.2554999999993552e-06,4.772499999999846e-05,3.692499999996546e-05,-0.0006449999999999928,-6.449999999991185e-06,-1.250000000729834e-07,2.3237500000002076e-05,9.849999999977932e-06,0.00010407500000003678,-0.0008156249999999032,-1.4399999999969992e-05,3.449999999960429e-06,0.00026645439999999987,3.8674999999988025e-05,6.59249999999667e-05,-0.0005098000000000047,8.125000000025473e-06,-3.000000000086267e-07,5.637500000000434e-05,2.007500000000828e-05,6.000000000172534e-07,-5.623499999999476e-05,8.82499999993458e-06,-1.3500000000110646e-06,-8.065000000000155e-05,1.1374999999980151e-05,1.7350000000027066e-05,-0.00012938250000009768,2.6474999999970272e-05,1.0249999999878412e-06,-2.3999999999996247e-05,6.249999999763389e-07,6.7000000000261295e-06,-0.0002572750000000845,110.28968055389659,120.66481865389626,104.84570163099374,164.33938776939075,145.94705948812833,167.04966878838746,171.51457683602564,162.3647054195187,2.191856,72.31469,66.49604964300522,2.029322,81.22805,75.92865761921028,1.927033,91.06456,86.13280347660778,2.042648,2.628156,16.78538383605181,1.959526,7.250279,14.972664784350604,1.960372,13.95488,15.490420995938115,2.07279,68.56693,83.35548640681067,2.089525,63.08192,77.32510650625348,2.110672,57.04647,71.37525605697506
