Timestamp,GrabEventOccurred,BlueBowl_Position_X,BlueBowl_Position_Y,BlueBowl_Position_Z,BlueBowl_Rotation_X,BlueBowl_Rotation_Y,BlueBowl_Rotation_Z,BlueCup_Position_X,BlueCup_Position_Y,BlueCup_Position_Z,BlueCup_Rotation_X,BlueCup_Rotation_Y,BlueCup_Rotation_Z,BronzeBottle_Position_X,BronzeBottle_Position_Y,BronzeBottle_Position_Z,BronzeBottle_Rotation_X,BronzeBottle_Rotation_Y,BronzeBottle_Rotation_Z,CeladonBottle_Position_X,CeladonBottle_Position_Y,CeladonBottle_Position_Z,CeladonBottle_Rotation_X,CeladonBottle_Rotation_Y,CeladonBottle_Rotation_Z,RedBowl_Position_X,RedBowl_Position_Y,RedBowl_Position_Z,RedBowl_Rotation_X,RedBowl_Rotation_Y,RedBowl_Rotation_Z,RedCup_Position_X,RedCup_Position_Y,RedCup_Position_Z,RedCup_Rotation_X,RedCup_Rotation_Y,RedCup_Rotation_Z,WhiteBottle_Position_X,WhiteBottle_Position_Y,WhiteBottle_Position_Z,WhiteBottle_Rotation_X,WhiteBottle_Rotation_Y,WhiteBottle_Rotation_Z,WhiteBowl_Position_X,WhiteBowl_Position_Y,WhiteBowl_Position_Z,WhiteBowl_Rotation_X,WhiteBowl_Rotation_Y,WhiteBowl_Rotation_Z,WhiteCup_Position_X,WhiteCup_Position_Y,WhiteCup_Position_Z,WhiteCup_Rotation_X,WhiteCup_Rotation_Y,WhiteCup_Rotation_Z,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,EyePosX,EyePosY,EyePosZ,EyeRotX,EyeRotY,EyeRotZ,LeftShoulderX_Delta,LeftShoulderY_Delta,LeftShoulderZ_Delta,RightShoulderX_Delta,RightShoulderY_Delta,RightShoulderZ_Delta,LeftElbowX_Delta,LeftElbowY_Delta,LeftElbowZ_Delta,RightElbowX_Delta,RightElbowY_Delta,RightElbowZ_Delta,LeftWristX_Delta,LeftWristY_Delta,LeftWristZ_Delta,RightWristX_Delta,RightWristY_Delta,RightWristZ_Delta,LeftHipX_Delta,LeftHipY_Delta,LeftHipZ_Delta,RightHipX_Delta,RightHipY_Delta,RightHipZ_Delta,LeftKneeX_Delta,LeftKneeY_Delta,LeftKneeZ_Delta,RightKneeX_Delta,RightKneeY_Delta,RightKneeZ_Delta,LeftAnkleX_Delta,LeftAnkleY_Delta,LeftAnkleZ_Delta,RightAnkleX_Delta,RightAnkleY_Delta,RightAnkleZ_Delta,Angle_RS_LS_LE,Angle_LS_LE_LW,Angle_LS_RS_RE,Angle_RS_RE_RW,Angle_LS_LH_LK,Angle_RS_RH_RK,Angle_LH_LK_LA,Angle_RH_RK_RA,RedBowl_Distance,RedBowl_Angle,RedBowl_HeadAngle,WhiteBowl_Distance,WhiteBowl_Angle,WhiteBowl_HeadAngle,BlueBowl_Distance,BlueBowl_Angle,BlueBowl_HeadAngle,BronzeBottle_Distance,BronzeBottle_Angle,BronzeBottle_HeadAngle,WhiteBottle_Distance,WhiteBottle_Angle,WhiteBottle_HeadAngle,CeladonBottle_Distance,CeladonBottle_Angle,CeladonBottle_HeadAngle,BlueCup_Distance,BlueCup_Angle,BlueCup_HeadAngle,WhiteCup_Distance,WhiteCup_Angle,WhiteCup_HeadAngle,RedCup_Distance,RedCup_Angle,RedCup_HeadAngle
0.0,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.0199,1.967612,0.0,358.0548,0.0,-0.2335454,1.015701,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.018312,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,0.0821001,1.604886,0.3308188,14.02359,358.3651,1.728451,0.1150789,1.605852,0.3320015,21.79187,358.3396,1.738193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.52192940715135,103.99341020903053,92.44897065938022,150.08819339281547,159.00428997024406,172.6717568683848,161.8917764462092,154.3594226579567,1.936765,56.33418,58.681330077081945,1.799723,66.60207,69.35033525749508,1.733131,77.87733,80.7408117456504,1.901186,24.0152,23.3695566535518,1.816019,17.93664,17.401599441859055,1.773691,10.7423,10.685029895621243,2.309419,86.87669,89.94778490390387,2.303001,82.25776,84.37689840728683,2.299391,76.89702,79.02519493116921
0.01042938,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.0199,1.967612,0.0,358.0548,0.0,-0.2335454,1.015701,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.018312,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,0.08216875,1.604885,0.3305894,14.01752,358.3405,1.714525,0.1151474,1.605843,0.3317842,21.78578,358.3129,1.723646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.52192940715135,103.99341020903053,92.44897065938022,150.08819339281547,159.00428997024406,172.6717568683848,161.8917764462092,154.3594226579567,1.936813,56.35327,58.70209555253058,1.799726,66.62028,69.37013052515402,1.733085,77.89508,80.76011249882343,1.90141,23.98939,23.34274040746392,1.816245,17.9117,17.376502758191087,1.773915,10.71891,10.663969092751785,2.309459,86.85062,89.91854335657564,2.303062,82.23127,84.34769565176963,2.299474,76.87036,78.99587506946412
0.02172089,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.0199,1.967612,0.0,358.0548,0.0,-0.2335454,1.015701,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.018312,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,0.08221933,1.604888,0.3303535,14.01517,358.3165,1.701561,0.1151977,1.605839,0.3315603,21.78342,358.287,1.710102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.52192940715135,103.99341020903053,92.44897065938022,150.08819339281547,159.00428997024406,172.6717568683848,161.8917764462092,154.3594226579567,1.93688,56.37073,58.72077988113743,1.799747,66.63644,69.38757237106744,1.733058,77.91041,80.77678369251913,1.901635,23.96447,23.31545907149018,1.816473,17.88785,17.350565845961818,1.774144,10.6971,10.641297855838474,2.309483,86.8238,89.88869523456287,2.303109,82.20413,84.31786552895787,2.299543,76.84313,78.96596589167046
0.03246307,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.0199,1.967612,0.0,358.0548,0.0,-0.2335454,1.015701,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.018312,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,0.0822566,1.604883,0.3301561,14.01024,358.2981,1.700117,0.1152346,1.605833,0.3313732,21.7785,358.2684,1.708596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.52192940715135,103.99341020903053,92.44897065938022,150.08819339281547,159.00428997024406,172.6717568683848,161.8917764462092,154.3594226579567,1.936936,56.38351,58.733911686659916,1.799766,66.64846,69.39987385518818,1.733036,77.92198,80.7886446430598,1.901819,23.94573,23.296824263542042,1.816659,17.86975,17.33318549914402,1.774332,10.68017,10.62682273767031,2.309495,86.80506,89.86833436844617,2.30314,82.18505,84.29749636786177,2.299592,76.8239,78.9454878309376
0.04432678,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.0199,1.967612,0.0,358.0548,0.0,-0.2335454,1.015701,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.018312,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,0.08228392,1.60484,0.3298991,14.01325,358.2805,1.699525,0.1152616,1.60579,0.3311263,21.7815,358.2507,1.707975,-9.550000000024816e-06,2.857500000003066e-05,0.0005964435000000005,-6.575000000008657e-06,1.4399999999914481e-05,6.253750000000113e-05,-3.5975000000021407e-05,5.5849999999968425e-05,0.00040567249999999555,-8.375000000004906e-06,5.662499999992132e-05,-1.2752499999990619e-05,-1.537499999998415e-05,4.027499999997852e-05,0.0004699974999999995,4.249999999983434e-06,5.887500000001378e-05,7.775000000098675e-06,5.4999999998806e-07,3.8599999999999746e-05,6.511000000000017e-05,2.6750000000075325e-06,9.284999999997767e-05,-6.517749999999933e-05,1.2974999999970649e-05,-2.007500000000828e-05,0.00031716749999999294,4.9999999918171056e-08,3.525000000004219e-06,9.945000000000093e-05,4.149999999980558e-06,-6.724999999985215e-06,0.0002834250000000038,7.474999999923515e-06,-1.7825000000026847e-05,0.00013882500000000908,116.45670967754722,104.14301271934795,92.47245534342292,150.1516499380984,158.68490228442266,172.6046826964527,162.0278451497222,154.43968147398093,1.937012,56.39235,58.74175666797281,1.799793,66.65561,69.40630488521992,1.733009,77.92805,80.79420669292065,1.902038,23.92874,23.27644491460512,1.816884,17.85419,17.31320779762404,1.77456,10.66727,10.607816158691364,2.309479,86.78327,89.84513032401325,2.303148,82.16312,84.27425458203058,2.299625,76.80199,78.92224312258332
0.05562592,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.0199,1.967612,0.0,358.0548,0.0,-0.2335454,1.015701,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.018312,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,0.08234047,1.604856,0.3296683,14.02417,358.2565,1.696894,0.1153177,1.605804,0.330909,21.60095,356.6407,1.316109,-9.550000000080328e-06,2.8574999999975148e-05,0.0005964434999999996,-6.575000000008657e-06,1.4400000000081015e-05,6.253750000000113e-05,-3.5974999999965895e-05,5.5850000000023936e-05,0.0004056725000000025,-8.375000000004906e-06,5.6625000000087855e-05,-1.2752500000004496e-05,-1.5375000000039662e-05,4.027499999997852e-05,0.0004699975000001001,4.249999999983434e-06,5.8874999999902755e-05,7.774999999904386e-06,5.500000000435712e-07,3.8599999999999746e-05,6.511000000000017e-05,2.6750000000075325e-06,9.284999999997767e-05,-6.517749999999933e-05,1.297500000002616e-05,-2.007500000000828e-05,0.0003171675000000068,5.000000008470451e-08,3.525000000004219e-06,9.945000000000093e-05,4.150000000036069e-06,-6.724999999985215e-06,0.00028342499999997606,7.4750000000900485e-06,-1.7825000000026847e-05,0.00013882499999998132,116.39045611822036,104.29287656335738,92.49617894511198,150.21504258076203,158.36544279372265,172.53525866800538,162.16370564221313,154.51994106184713,1.937077,57.87618,58.75298350196309,1.799814,68.11109,69.41570210829356,1.732982,79.35176,80.8022824521389,1.902264,22.42619,23.249309710913757,1.817113,16.36675,17.28611668270481,1.77479,9.239653,10.581018109962274,2.309513,85.43054,89.81331209347717,2.303205,80.78886,84.24254319318348,2.299703,75.41279,78.8907408371753
0.06629944,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.0199,1.967612,0.0,358.0548,0.0,-0.2335454,1.015701,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.018312,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,0.08236931,1.604859,0.3294315,14.02772,358.2289,1.696231,0.1153459,1.605807,0.3306881,21.62341,355.9896,1.162406,-9.549999999913794e-06,2.8574999999975148e-05,0.0005964435000000001,-6.575000000008657e-06,1.4400000000025504e-05,6.253750000000113e-05,-3.5975000000021407e-05,5.5849999999912914e-05,0.0004056724999998984,-8.375000000004906e-06,5.662499999997683e-05,-1.2752500000004496e-05,-1.537499999998415e-05,4.0275000000034034e-05,0.00046999749999990063,4.250000000038945e-06,5.887500000006929e-05,7.774999999987653e-06,5.4999999998806e-07,3.8599999999999746e-05,6.511000000000017e-05,2.6749999999520213e-06,9.285000000003318e-05,-6.517749999999933e-05,1.2974999999970649e-05,-2.007500000000828e-05,0.00031716749999999294,5.000000002919336e-08,3.525000000004219e-06,9.944999999999746e-05,4.149999999980558e-06,-6.724999999985215e-06,0.0002834250000000038,7.475000000034537e-06,-1.7824999999915825e-05,0.00013882500000000908,116.32318165849163,104.44300114790478,92.52013745420277,150.27837120874062,158.04591629931852,172.463550781168,162.29935702525202,154.6002008533464,1.937162,58.44698,58.770062769339155,1.799855,68.661,69.43113017403698,1.732975,79.88141,80.81651978838242,1.902481,21.83818,23.21974344343179,1.817336,15.79463,17.257277191328,1.775015,8.717379,10.554232949614546,2.309517,84.84673,89.78094463603914,2.303231,80.19952,84.21017177121294,2.299752,74.81985,78.85835568703511
0.07685852,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.0199,1.967612,0.0,358.0548,0.0,-0.2335454,1.015701,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.018312,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,0.08241962,1.604883,0.3292024,14.02471,358.2025,1.6884,0.1153958,1.605827,0.3304731,21.6201,355.9622,1.154366,-9.550000000024816e-06,2.857500000003066e-05,0.0005964435000000001,-6.574999999953146e-06,1.4399999999969992e-05,6.253750000000113e-05,-3.5974999999965895e-05,5.585000000007945e-05,0.00040567250000009963,-8.375000000004906e-06,5.6625000000032344e-05,-1.2752499999990619e-05,-1.537499999998415e-05,4.027499999997852e-05,0.0004699974999999995,4.249999999983434e-06,5.887500000001378e-05,7.775000000015408e-06,5.4999999998806e-07,3.8599999999999746e-05,6.511000000000017e-05,2.6750000000075325e-06,9.284999999997767e-05,-6.517749999999933e-05,1.297500000002616e-05,-2.007500000000828e-05,0.0003171675000000068,4.999999997368221e-08,3.525000000004219e-06,9.945000000000093e-05,4.149999999980558e-06,-6.724999999985215e-06,0.0002834250000000038,7.474999999979026e-06,-1.7825000000026847e-05,0.00013882500000000908,116.25489902284205,104.5933858665563,92.54432692576609,150.34163570967058,157.72632762560582,172.3896246923493,162.43479840297653,154.6804602801831,1.937235,58.46623,58.79011714024735,1.799884,68.67897,69.44992790522912,1.732957,79.8985,80.8344983698876,1.902706,21.81152,23.191645367892544,1.817564,15.76909,17.230674497541266,1.775244,8.694432,10.53129539401183,2.309549,84.81863,89.7502715966774,2.303285,80.17108,84.17953205498478,2.299827,74.79132,78.8276368389027
0.08777618,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.0199,1.967612,0.0,358.0548,0.0,-0.2335454,1.015701,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.018312,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,0.08252753,1.604943,0.3290103,14.01302,358.1711,1.673559,0.1155034,1.605878,0.3302969,21.60787,355.9288,1.139382,-2.379999999996274e-05,-8.15499999999858e-05,0.0002874748500000001,-5.925000000017722e-06,4.800000000027005e-06,-5.172499999997471e-06,-2.9000000000001247e-05,-1.0200000000015752e-05,0.0005366600000000013,-2.6049999999999685e-05,1.5749999999759012e-06,-3.5747500000002375e-05,-8.62500000003985e-06,5.649999999912669e-06,0.0005701909999999994,-1.234999999999431e-05,6.749999999999812e-06,-1.3000000000096268e-06,-2.4499999999871847e-06,2.744999999998443e-05,0.00010028999999999941,-2.025000000072108e-06,3.482500000001609e-05,-0.00010052250000000193,1.1249999999907168e-06,5.612500000007348e-05,0.00017219000000000262,2.499999999239222e-07,2.7375000000051664e-05,-1.5475000000007844e-06,3.1200000000009e-05,5.125000000050228e-06,0.00013879999999999448,1.8175000000009156e-05,9.900000000007125e-06,3.982499999999334e-05,116.33507067405422,104.49719716883068,92.60573603615508,150.38350438901136,157.6266211781565,172.34860723356599,162.44905633607803,154.71127586325258,1.937261,58.49298,58.81967211633546,1.799871,68.70544,69.47883498732409,1.732903,79.92485,80.86314228308508,1.902933,21.77917,23.16097010674453,1.817788,15.73714,17.20268530759914,1.775461,8.663448,10.509610448917764,2.30965,84.78893,89.7169205083563,2.303405,80.14087,84.14633400275632,2.299966,74.76092,78.79430858695507
0.1002579,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.0199,1.967612,0.0,358.0548,0.0,-0.2335454,1.015701,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.018312,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,0.08260478,1.604987,0.3287884,13.99368,358.144,1.668334,0.1155801,1.60592,0.3300895,30.7663,353.4547,0.5536503,-2.380000000001825e-05,-8.155000000004131e-05,0.0002874748499999999,-5.925000000017722e-06,4.799999999971494e-06,-5.172499999900326e-06,-2.9000000000001247e-05,-1.0199999999960241e-05,0.0005366600000000013,-2.6049999999999685e-05,1.5750000000314124e-06,-3.5747500000002375e-05,-8.62499999998434e-06,5.650000000079203e-06,0.0005701910000000011,-1.234999999999431e-05,6.749999999999812e-06,-1.2999999998986045e-06,-2.4499999999871847e-06,2.744999999998443e-05,0.00010028999999999941,-2.0249999999055746e-06,3.482500000001609e-05,-0.00010052249999999846,1.1249999999907168e-06,5.6124999999962455e-05,0.00017218999999998874,2.5000000009045564e-07,2.737499999994064e-05,-1.547499999997315e-06,3.1200000000009e-05,5.124999999939206e-06,0.00013880000000002224,1.8175000000009156e-05,9.900000000007125e-06,3.982499999999334e-05,116.41498984767067,104.40159135938087,92.66696021632877,150.42534970333594,157.5270094615583,172.30697185024138,162.4632755753421,154.7420594365152,1.937318,58.5231,58.84573444360684,1.799885,67.67739,69.50452987793207,1.732871,78.02255,80.88886390463887,1.903169,23.57552,23.136824097495364,1.818025,18.93087,17.18172633103039,1.775695,14.46277,10.495934360541524,2.309714,79.82184,89.69148596615071,2.303492,75.4857,84.12094302155349,2.300073,70.36497,78.76861492537557
